movies,full_situation
"['Donnie Darko', 'Guardians of the Galaxy', 'Office Space', 'Star Trek']","RECOMMEND Guardians of the Galaxy They thought the drama would be better than a Scorsese movie. ACCEPT. Comedy. And who's your favorite superhero? superhero. batman. Really neither, although I do like romance sci fi I like Maggie G,so maybe I would like her brother Sure. Tell me a little bit about what you like. RECOMMEND Star Trek ACCEPT. Why did you recommend this movie? Why did you accept the movie? Why did you recommend this movie? They don't seem interested in fantasy movies at all so it's process of elimination at this point. Do you like action movies better or fantasy movies better? Why did you accept the movie? Similar to some sci fi and action choies. I like comedy and romance. ACCEPT. If you had to choose between comedy and superhero, which would it be? Why did you accept the movie? I like some superhero movies, but not sci fi specific Probably comedy. Out of those options the drama I guess. You mentioned sci fi. Do you like anything set in space? Can you help me pick a movie. RECOMMEND Office Space Why did you recommend this movie? OK. Do you have any interest in sci fi? ACCEPT. They were interested in comedies and didn't seem interested in the other movies. Maybe comedies set in space. Christopher Nola. RECOMMEND Donnie Darko Would you rather watch a Scorcese movie or a supernatural drama? They mentioned superhero movies and didn't seem interested in sci fi action or fantasy. Do you have a favorite comedy director or actor? Why did you accept the movie? Why did you recommend this movie?"
"['Clerks II', 'Jay and Silent Bob Strike Back', 'Young Frankenstein']",Why did you recommend this movie? IT IS A 1974 COMEDY FILM. ACCEPT. this is a great comedy Why did you accept the movie? I PLAN TO WATCH  COMEDY  MOVIE TONIGHT. ACCEPT. RECOMMEND Clerks II I LIKE COMEDY FILM. Why did you recommend this movie? this is a comedy that might be up your alley RECOMMEND Young Frankenstein RECOMMEND Jay and Silent Bob Strike Back Why did you accept the movie? this is another great comedy ITS A AMERICAN COMEDY FILM. Why did you accept the movie? ACCEPT. Why did you recommend this movie?
"['Groundhog Day', 'Django Unchained ()', 'Braveheart', 'Sin City', 'Fight Club']","The actors and plot are intriguing. Why did you accept the movie? Why did you accept the movie? RECOMMEND Braveheart ACCEPT. RECOMMEND Fight Club Why did you accept the movie? It seemed like a movie I would enjoy based on my like of No Country for Old Men. ACCEPT. Why did you recommend this movie? its a drama war movie its second to the last Why did you recommend this movie? RECOMMEND Django Unchained () Why did you accept the movie? ACCEPT. Why did you recommend this movie? ACCEPT. I have two types of movies on my list today, thriller/action  drama/war and a violent western with Jamie Foxx.  I do have a early 90s comedy with Bill Murray, any of those sound like your cup of tea? Why did you recommend this movie? Hello, I would enjoy a movie suggestion. I like a variety of films, including comedy, drama and mysteries. I also enjoy the occasional animated movie. It's an epic movie that I feel I could enjoy watching. RECOMMEND Sin City It would be something different for me to view. its a comedy A classic comedy movie that is always worth a watch works for me. its a good movie ACCEPT. its the last one The drama war one sounds interesting. The Jamie Foxx one could be okay too. The thriller would be a faint maybe RECOMMEND Groundhog Day Why did you recommend this movie? Why did you accept the movie?"
['Goodfellas (styled as GoodFellas)'],"OK.  Are there any actors that you like? I like Cameron Diaz and Scorsese movies. I like mostly 90s comedy and thrillers. is is by scorsese. It has the director that they like. Why did you recommend this movie? RECOMMEND Goodfellas (styled as GoodFellas) Hi, I want a movie to watch Why did you accept the movie? ACCEPT. OK.  Can you tell me what kind of movies you are interested in?"
"['I Origins', 'Smashed', 'Hereafter']","It's a great task I really enjoy doing them It's a recent sci-fi film. Sorry about my previous comment Why did you accept the movie? Because i thought it might be a good fit for the seeker RECOMMEND I Origins Why did you accept the movie? Why did you accept the movie? It's a recent drama. Because i thought it might be good It's a recent fantasy film. RECOMMEND Smashed ACCEPT. Why did you recommend this movie? Why did you recommend this movie? Why did you recommend this movie? I like actors Kevin Spacey, Jared Leto , and Diane Kruger. ACCEPT. Because i thought it might be a good fit for the seeker I also like movies from the 2000s. ACCEPT. Hi. I like watching dramas, sci-fi, and musicals. RECOMMEND Hereafter"
"['Network', 'Juno', 'Monty Python and the Holy Grail', 'Being John Malkovich']","ACCEPT. Why did you accept the movie? RECOMMEND Network RECOMMEND Being John Malkovich it is also a movie from 1970. Why did you recommend this movie? its from the 70's. I have one that is a monty python movie, have you heard of these? I think so.. I have another movie from the 70s but it isn't a comedy, do you think you may like to try it? Why did you recommend this movie? It is a romantic comedy Do you like Cameron Diaz? It is a comedy type of movie Why did you accept the movie? I think the user would like the movie I am really into 70's flicks can you help me find something please:). Yes, do you also like comedies? Uh, Annie Hall was good. What do you have? ACCEPT. ACCEPT. ACCEPT. how about a romantic comedy. Why did you accept the movie? It is a movie from the 70s What about Tarantino films? Why did you recommend this movie? sure, why not? I have many different movies on my list Why did you accept the movie? it is a comedy. Not really. RECOMMEND Monty Python and the Holy Grail RECOMMEND Juno Why did you recommend this movie? there's not much left!"
"['Shaun of the Dead', 'Alien']","ACCEPT. How about animation, comic book/superhero, or zombie comedy? I liked Aliens. It's sci-fi horror I might like this. Zombie comedy might work. Why did you accept the movie? RECOMMEND Alien I like Fantasy comedy, Action horror, Adventure and Bill Murray is a plus. sci-fi horror? ACCEPT. It's a zombie comedy Why did you recommend this movie? Why did you accept the movie? I watched Aliens. Why did you recommend this movie? RECOMMEND Shaun of the Dead"
['Apollo 13'],"Any favorite actors or directors that you like? I like drama movies the most but I could go for a thriller or a comedy. Well since all of my movies are from the 90s how about a specific genre? Have a couple of those any specific genre/ Mostly I like things from the nineties and such. Why did you accept the movie? Great, what kinds of movies do you like? ACCEPT. RECOMMEND Apollo 13 I love Tom Hanks and it's a genre I appreciate. I think I want good drama, have anything like that? I like Tom Hanks, Kevin Costner and movies directed by Steven Spielberg and George Lucas. Why did you recommend this movie? its a drama with tom hanks Hiya, I'm looking for a good movie to watch!"
"['Pulp Fiction', 'Apocalypse Now', 'Taxi Driver', 'American Beauty']","RECOMMEND Taxi Driver Why did you recommend this movie? Not in too war movies. All! If you can tell me a little more about each one. Do you have any like goodfellas? might like the characters Why did you reject the movie? Why did you recommend this movie? Other two didn't work out Well, I like them all! Sorry you might have a hard time. Why did you recommend this movie? Why did you recommend this movie? Whats going on? Are you ready? I like crime movies. Why did you accept the movie? Well I have a dark comedy crime movie, a war film, drama, a crime psychological thriller, and an action horror film. Would any of these interest you? ACCEPT. Why did you accept the movie? RECOMMEND American Beauty ACCEPT. REJECT. interested in goodfella interested in goodfellas Yes. What movie genres do you like? REJECT. RECOMMEND Pulp Fiction Not sure? But I do like some dramas. Maybe ask me more questions. Not sure if I would like dark comedy. I like a little less twisted. Why did you reject the movie? RECOMMEND Apocalypse Now"
['Back to the Future'],"i love all kinds of genres! action, fantasy adventure, drama, horror, and especially science fiction! RECOMMEND Back to the Future from 1979 to righly 1994 is the best description. maybe 1980s to be the most specific Do you like any specific decades? It is a 1980s science fiction and i love science fiction movies! sci fi film from the 80's Why did you accept the movie? good question, steven spielberg! also some actors i like are keanu reaves, sandra bollock, robin willias, henry thomas, robert macnoughton! ACCEPT. Do you have any favorite actors or directors? Why did you recommend this movie?"
[],"Hi, there, can you help me pick out a movie?"
['Braveheart'],"I like the 90's. It fits with the style of movies I like. ACCEPT. Why did you recommend this movie? Why did you accept the movie? RECOMMEND Braveheart This looks right up my alley! Do you like a particular genre of film? Hi, can you help me find a movie? Do you have a preference for a particular decade? Mostly action-adventure."
"['Taxi Driver', 'Reservoir Dogs']","Why did you recommend this movie? RECOMMEND Taxi Driver Why did you recommend this movie? Why did you accept the movie? Hi, can you recommend a sci-fi action horror, crime, or comedy crime movie? I also like epic war movies. ACCEPT. Because it is a crime movie as well as a movie based during the Vietnam War. It is american crime. ACCEPT. It is a crime movie and he stated that he enjoys crime movies. Why did you accept the movie? RECOMMEND Reservoir Dogs It is crime and thriller."
"['Jurassic Park', 'Forrest Gump', 'United 93']",some fantasy action ACCEPT. sci fi. Why did you recommend this movie? Why did you recommend this movie? sexual fantasy or sci-fi fantasy? it's a happy medium of comedy and drama Why did you accept the movie? it can be both. I like something that's a lot of action and its exciting. ACCEPT. Why did you recommend this movie? some comedy with your drama or just bring on the drama? thanks but how aobut something with some fanasty? i'm glad i could find you some good choices for tonite. i hope you enjoy your pick either way. I love tom hanks and I like comedy-drama movies. more drama :). I like movies related to our history. ACCEPT. RECOMMEND United 93 RECOMMEND Forrest Gump for more of a drama feel if you like. RECOMMEND Jurassic Park Why did you accept the movie? Hi Im into american films that has some fanasty or drama. Why did you accept the movie? are you feeling more like science fiction or drama tonite?
